"id","high_risk","outcome"
1,FALSE,2
2,FALSE,3
3,FALSE,0
4,FALSE,3
5,TRUE,4
6,FALSE,1
7,FALSE,1
8,FALSE,0
9,FALSE,1
10,TRUE,4
11,FALSE,3
12,TRUE,4
13,TRUE,4
14,FALSE,3
15,FALSE,1
16,FALSE,1
17,FALSE,1
18,FALSE,0
19,FALSE,2
20,FALSE,2
21,TRUE,4
22,FALSE,0
23,FALSE,1
24,FALSE,3
25,FALSE,2
26,FALSE,2
27,FALSE,2
28,FALSE,1
29,FALSE,1
30,FALSE,2
31,FALSE,0
32,FALSE,1
33,FALSE,1
34,FALSE,0
35,FALSE,1
36,FALSE,2
37,FALSE,2
38,FALSE,1
39,FALSE,2
40,FALSE,0
41,FALSE,3
42,FALSE,0
43,FALSE,4
44,TRUE,4
45,FALSE,1
46,TRUE,4
47,FALSE,2
48,FALSE,1
49,FALSE,0
50,FALSE,0
51,FALSE,0
52,FALSE,2
53,FALSE,1
54,FALSE,1
55,FALSE,0
56,FALSE,1
57,FALSE,1
58,TRUE,4
59,TRUE,4
60,FALSE,0
61,TRUE,4
62,FALSE,0
63,FALSE,1
64,TRUE,4
65,FALSE,2
66,FALSE,3
67,FALSE,2
68,TRUE,4
69,FALSE,0
70,FALSE,2
71,TRUE,4
72,FALSE,2
73,FALSE,0
74,FALSE,0
75,FALSE,2
76,FALSE,1
77,FALSE,2
78,FALSE,1
79,TRUE,4
80,TRUE,4
81,FALSE,0
82,FALSE,2
83,FALSE,1
84,TRUE,4
85,FALSE,2
86,TRUE,4
87,FALSE,2
88,FALSE,1
89,FALSE,2
90,FALSE,0
91,FALSE,1
92,FALSE,3
93,FALSE,2
94,TRUE,4
95,TRUE,4
96,FALSE,3
97,FALSE,3
98,TRUE,4
99,FALSE,2
100,FALSE,2
101,TRUE,4
102,FALSE,1
103,FALSE,1
104,FALSE,1
105,TRUE,4
106,FALSE,2
107,FALSE,1
108,FALSE,0
109,TRUE,4
110,TRUE,4
111,TRUE,4
112,TRUE,4
113,FALSE,1
114,FALSE,1
115,TRUE,4
116,FALSE,1
117,FALSE,1
118,TRUE,4
119,FALSE,2
120,TRUE,4
121,FALSE,3
122,TRUE,4
123,FALSE,2
124,FALSE,0
125,TRUE,4
126,TRUE,4
127,FALSE,0
128,TRUE,4
129,FALSE,1
130,FALSE,1
131,FALSE,0
132,FALSE,2
133,FALSE,1
134,FALSE,0
